Unnamed: 0.4,Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,Filename,Sentences
0.0,0.0,0.0,0.0,0.0,Wizard-Lesson 1-01.wma," Music  Wizard Book 3 Conversation Lesson 1  Did the boy pay $1 for the paper at the newsstand?  Yes, he did. He paid $1 for the paper at the newsstand.  Did this secretary put the document on the table?  Yes, she did.  She put the document on the table.  No, she didn't.  She didn't put the information from the computer?  Yes, I did. I accessed the information from the computer.  No, I didn't. I didn't access the information from the computer.  Did your mom do her Christmas shopping early this year?  Yes, she did.  She did her Christmas shopping early this year.  No, she didn't. She didn't do her Christmas shopping early this year.  Did they eat Brazilian food at the restaurant? Yes, they did.  They ate Brazilian food at the restaurant.  No, they didn't.  They didn't eat Brazilian food at the restaurant. Is your sister doing her homework in the her bedroom?  Yes, she is.  She is doing her homework in her bedroom.  No, she isn't. She isn't doing her homework in her bedroom.  Are the children playing in the snow?  Yes, they are. They are playing in the snow.  Now they aren't. They aren't playing in the snow.  Is your son putting the toys in the room?  Yes he is.  He is putting the toys in the room.  No, he isn't. He isn't putting the toys in the room.  Is Jane accessing her email every day?  Yes she is. She is accessing her email every day. No, she isn't. She isn't accessing her email every day.  Is the man paying for the groceries?  Yes he is.  He is paying for the groceries.  No he isn't.  He is not paying for the groceries."
1.0,1.0,1.0,1.0,1.0,Wizard-Lesson 10-10.wma," Conversation, Lesson 10, is he younger or older than her?  He is younger than her.  I thought he was older than her.  How old do you think she is?  I think she's 40.  I don't think she's older than 35.  What were they doing there? I don't know what they were doing there.  I think they were checking their emails. Who is the youngest in your class?  I think Karen is the youngest.  Isn't James younger than she is?  Who is the oldest student in your class?  I think Mark is the oldest.  Isn't Jim older than Mark?  What is the most difficult class in school?  I think it's math.  Isn't it biology?  What is the easiest class in school?  I think it's English.  Isn't it Portuguese?  When is the best time for us to go there?  What about 10 o'clock?  Isn't it 11 o'clock better?  What is the fastest car that you know?  What about a Porsche?  Isn't a Ferrari faster?  What is the largest state in the US?  What about California?  Isn't Texas larger"
2.0,2.0,2.0,2.0,,Wizard-Lesson 11-11.wma," Lesson 11  Conversation Lesson 11  Lesson 11  Where does he come from?  I think he comes from England.  I think he comes from England.  I don't think he comes from England.  I don't think he comes from England.  Where do they come from?  Where do they come from?  I think they come from Italy.  I think they come from Italy.  I don't think they come from Italy. I don't think they come from Italy.  I don't think they come from Italy.  Do you know where she comes from?  Doesn't she come from New Jersey?  I think she comes from New York.  Do you know where he comes from?  Doesn't he come from Arizona?  I think he comes from Utah.  Where are they from?  I don't know where they are from.  I think they are from Germany.  Where is she from?  I don't know where she's from.  I think she's from Spain.  Do you think adolescents drive too fast?  I think they do.  But some adolescents don't drive too fast.  Do you think the online course is too expensive?  I think it is,  but some online courses are not too expensive.  Do you think it's too cold to play in the snow?  I think it is.  But I don't think it's too cold to play in the snow.  Do you think the test was too difficult?  I think it was.  But I don't think the test was too difficult for the students."
3.0,3.0,3.0,,,Wizard-Lesson 12-12.wma, Conversation  Lesson 12  She put her sunglasses in her purse.  How do you know that she put them in her purse?  I saw her putting them in her purse.  He took a shuttle to the airport.  How do you know that he took a shuttle to the airport.  How do you know that he took a shuttle?  I saw him taking the shuttle.  She is afraid to travel by plane.  How do you know that?  Because she always travels by train.  The secretary left the office a few minutes ago.  How do you know that?  I saw her leaving the office.  He sent the document by email.  She is too tired to exercise today.  How do you know that she's too tired?  She worked till late last night.  This job is too big for her.  How do you know this job is too big for her?  Because she never worked in this department before.  She is too busy to go to the party tonight.  How do you know that she's too busy tonight?  Because she has a test at school.  She's too young to go out late at night.  Why do you say she is too young? She's only 14 years old. He is  too sick to go to work. Why do you say he is too sick to go to work? Because he was in bed yesterday.
,,,,,Wizard-Lesson 13-13.wma," Conversation  Lesson 13  He invited Sandy to the movies, but she didn't go.  What's the matter with her?  I think she's too busy.  I called him, but nobody answered the phone.  What's the matter with his phone?  I think he's too busy. I called him but nobody answered the phone.  What's the matter with his phone?  I think nobody was home.  He stayed in bed all day.  What's the matter with him?  I think he has a fever.  She waited for him, but he didn't come.  What's the matter with him?  I think he had to travel.  Mr. Wilson's belt buckle is too big.  Who bought it for him? It was a gift. The belt buckle is too big.  Who bought it for him?  It was a gift.  Bob's driver's license was in his wallet.  How do you know that?  I saw him putting it in the wallet.  I forgot to go to Ann's birthday party. How did you forget her birthday?  I don't know how I forgot.  I forgot where the president's office is.  How did you forget that?  I don't know how I forgot.  I forgot to bring Sarah's blouse.  How did you forget it?  I left it in my car.  I forgot her email address.  How did you forget it?  I don't know why, but I never remember it."
,,,,,Wizard-Lesson 14-14.wma," Conversation  Lesson 14  She left her laptop in the car.  Are you sure she did that?  Yes, I am.  There is a new message for you on your computer.  Are you sure of that?  Yes, I am. I saw it on your computer. Are you sure of that?  Yes I am.  I saw it on your computer.  She invited all her friends to the birthday party.  Are you sure she did?  Yes I am.  I was with her when she invited them.  The package arrived at his house yesterday.  Are you sure of that?  Yes, I am. I was at his house when it arrived.  She gave her boyfriend a kiss.  Are you sure she did? Yes, I am. I saw them.  His computer is not working.  Are you sure it's not working?  Yes, I am. I was using it when it stopped working.  Amy's parents call her every Sunday.  Are you sure they call her?  Yes, I am. I always see them calling her.  The school's cafeteria is full of students.  Are you sure it is?  Yes, I am. I just came from there.  John's teacher gave him lots of homework.  Are you sure he did? Yes, I am. He always gives him lots of homework.  My brother's wallet is empty.  Are you sure it is?  Yes, I am. I just saw it."
,,,,,Wizard-Lesson 14-14.wma," Conversation  Lesson 14  She left her laptop in the car.  Are you sure she did that?  Yes, I am.  There is a new message for you on your computer.  Are you sure of that?  Yes, I am. I saw it on your computer. Are you sure of that?  Yes I am.  I saw it on your computer.  She invited all her friends to the birthday party.  Are you sure she did?  Yes I am.  I was with her when she invited them.  The package arrived at his house yesterday.  Are you sure of that?  Yes, I am. I was at his house when it arrived.  She gave her boyfriend a kiss.  Are you sure she did? Yes, I am. I saw them.  His computer is not working.  Are you sure it's not working?  Yes, I am. I was using it when it stopped working.  Amy's parents call her every Sunday.  Are you sure they call her?  Yes, I am. I always see them calling her.  The school's cafeteria is full of students.  Are you sure it is?  Yes, I am. I just came from there.  John's teacher gave him lots of homework.  Are you sure he did? Yes, I am. He always gives him lots of homework.  My brother's wallet is empty.  Are you sure it is?  Yes, I am. I just saw it."
,,,,,Wizard-Lesson 15-15.wma," Conversation, Lesson 15  There's an employee standing by the door.  Who is he?  He's the new driver.  There is a picture of the family in the living room.  Who took that picture?  Suited with her new digital camera.  There's somebody waiting for you.  Who is waiting for you?  I think it's your new teacher.  There's a camera in the backpack.  Who put it there? I think Sam did. There is a document in  the briefcase. Who put it there? I saw the secretary putting it in the briefcase.  There was a lock on the garage door. Who put the lock on the garage door?  I think it was the housekeeper.  There was a cake in the refrigerator.  Who made the cake?  My mom did.  There was a student in the classroom.  Who was he?  He was the teacher's son.  There was a woman in the meeting.  Who was she?  She is the new bank manager.  There was an ad in the newspaper.  Who put this ad in the paper?  James did."
,,,,,Wizard-Lesson 16-16.wma," Conversation lesson 16  Is there a padlock on the motorcycle?  Yes, there is.  But I don't think there is.  Do you know if there is snow outside?  I think there is.  I don't think there is. I don't think there is.  Is there a lock on the suitcase?  Yes, I think there is.  Sorry, I just saw it and there isn't.  Is there soap in the bathroom?  Yes, I think there is.  Sorry, I was just there and there isn't.  Is there a solution to this problem?  I am sure there is a solution.  I am afraid there isn't a solution to this problem.  I am afraid there isn't a solution to this problem.  Was there an email on the computer for me?  I am sure there was an email for you.  I don't think there was an email. Is there anybody in the bathroom?  I don't know if there is or there is not. I think there is somebody in there.  Is there some aspirin in the medicine cabinet? I am afraid there isn't any aspirin here.  I think there is some. Was there a nurse with her at the hospital?  Yes, there was.  But I didn't see any nurse while I was there.  Was there a play at the theater?  I'm not sure there was.  I don't sure there was. I don't think there was."
,,,,,Wizard-Lesson 17-17.wma," Conversation, lesson 17.  Are there sandwiches here?  Yes, there are.  They're at the snack bar.  No, there aren't.  They're all finished.  How many channels are there on your television?  I really don't know how many channels there are.  I think there are more than 20.  How many students are there in your classroom?  I really don't know how many students there are.  I think there are more than 30.  How many pictures are there on this website?  I really don't know how many pictures there are.  I think there are more than 40.  How many books are there in the library?  I really don't know how many books there are.  I think there are more than 1,000.  How many people were there at the amusement park?  I really don't know how many people there were.  I think there were.  I think there were more than 10,000.  How many teenagers were there at the dance?  I really don't know how many teenagers there were.  I don't think there were more than 100.  How many customers were there at the grocery store?  I really don't know how many customers there were.  I think there weren't more than 50.  How many kids were there in class yesterday?  I really don't know how many kids there were.  I think there weren't more than 40.  How many adults were there in the concert?  I really don't know how many adults there were.  I think there weren't more than 100."
