Filename,Sentences_new
Wizard-Lesson 1-01.wma,"Conversation, Lesson 1
-separator-
Did the developer deploy the new feature to the server?
Yes, he did. He deployed the new feature to the server.
No, he didn't. He didn't deploy the new feature to the server.
-separator-
Did the project manager update the task list on the board?
No, she didn't. She didn't update the task list on the board.
-separator-
Did you fetch the data from the database?
Yes, I did. I fetched the data from the database.
-separator-
Did your colleague complete the coding tasks ahead of schedule?
Yes, she did. She completed the coding tasks ahead of schedule.
No, she didn't. She didn't complete the coding tasks ahead of schedule.
-separator-
Did they implement a new algorithm in the machine learning model?
No, they didn't. They didn't implement a new algorithm in the machine learning model.
-separator-
Is your fellow programmer debugging the code in the office?
Yes, he is. He is debugging the code in the office.
No, he isn't. He isn't debugging the code in the office.
-separator-
Are the interns testing the software in the virtual environment?
Yes, they are. They are testing the software in the virtual environment.
No, they aren't. They aren't testing the software in the virtual environment.
-separator-
Is your son organizing the tools in the workshop?
Yes, he is. He is organizing the tools in the workshop.
No, he isn't. He isn't organizing the tools in the workshop.
-separator-
Is Jane updating her code repository every day?
Yes, she is. She is updating her code repository every day.
No, she isn't. She isn't updating her code repository every day.
-separator-
Is the engineer processing the data for the machine learning model?
Yes, he is. He is processing the data for the machine learning model.
No, he isn't. He is not processing the data for the machine learning model."
Wizard-Lesson 10-10.wma,"Conversation, Lesson #10
-separator-
Is he a junior developer or a senior developer?
He is a junior developer.
-separator-
How many years of experience do you think she has?
I think she has 10 years of experience.
-separator-
What task were they working on?
I think they were debugging their code.
-separator-
Who is the least experienced programmer in your team?
I think Karen is the least experienced.
-separator-
Who is the most experienced developer in your team?
I think Mark is the most experienced.
-separator-
What is the most challenging project in the company?
I think it's the machine learning project.
-separator-
What is the simplest task in programming?
I think it's setting up a new development environment.
-separator-
When should we schedule the next sprint planning meeting?
What about 10 o'clock in the morning?
-separator-
Which is the most efficient programming language you know?
What about Python?
-separator-
What is the largest database system you have worked with?
What about MongoDB?"
Wizard-Lesson 11-11.wma,"Conversation, Lesson 11
-separator-
Where does the developer come from?
I believe he hails from England.
I doubt he hails from England.
-separator-
Where do the programmers come from?
I think they originate from Italy.
I doubt they originate from Italy.
-separator-
Do you know where the project manager comes from?
I think she's from New York.
-separator-
Do you know where the data scientist comes from?
I think he's from Utah.
-separator-
Where is the software team from?
I think they are from Germany.
-separator-
Where is the software engineer from?
I think she's from Spain.
-separator-
Do you think junior developers code too fast?
I think they do.
But some junior developers don't code too fast.
-separator-
Do you think the machine learning course is too expensive?
I think it is, but some machine learning courses are not too expensive.
-separator-
Do you think it's too cold to debug outside?
I think it is.
But I don't think it's too cold to debug outside.
-separator-
Do you think the coding challenge was too difficult?
I think it was.
But I don't think the coding challenge was too difficult for the programmers."
Wizard-Lesson 12-12.wma,"Conversation, Lesson 12  
-separator-  
She stashed her sunglasses in her bag.  
How do you know she stashed them in her bag?  
I observed her stashing them in her bag.  

-separator-  
He opted for a shuttle to reach the airport.  
How do you know that he chose a shuttle?  
I witnessed him opting for the shuttle.  

-separator-  
She avoids air travel out of fear.  
How do you know that?  
Because she consistently opts for train travel.  

-separator-  
The administrative assistant departed the premises a few minutes ago.  
How do you know that?  
I witnessed her departing the office.  

-separator-  
He dispatched the document via email.  

-separator-  
She's too fatigued to engage in physical activity today.  
How do you know she's too fatigued?  
She toiled until late last night.  

-separator-  
This assignment exceeds her capabilities.  
How do you know this assignment exceeds her capabilities?  
Because she lacks prior experience in this department.  

-separator-  
She's too preoccupied to attend tonight's gathering.  
How do you know she's too preoccupied tonight?  
Because she has an examination at school.  

-separator-  
She's underage to be out late.  
Why do you say she's underage?  
She's merely 14 years old.  

-separator-  
He's too unwell to report to work.  
Why do you say he's too unwell to report to work?  
Because he was confined to bed yesterday.  "
Wizard-Lesson 13-13.wma,"Conversation, Lesson 13
-separator-
He assigned the task to Sandy, but she didn't start it. What's the issue with her?
I think she's occupied with other projects.
-separator-
I submitted the code for review, but no one provided feedback. What's the issue with the code?
I think there might be a bug. I submitted the code for review, but no one provided feedback. What's the issue with the code?
I think the team was focused on another task.
-separator-
He didn't attend the team meeting. What's the issue with him?
I think he is feeling under the weather.
-separator-
She was supposed to present the project, but she didn't show up. What's the issue with her?
I think she had a last-minute client meeting.
-separator-
Mr. Johnson's code structure is too complicated. 
Who designed it for him? It was outsourced. 
The code structure is too complicated.
Who designed it for him? It was outsourced.
-separator-
Alice's API documentation was missing key details. How do you know that? I observed her creating it.
-separator-
I overlooked the sprint planning session. How did you manage to overlook it?
I don't know how it slipped my mind.
-separator-
I misplaced the software architecture diagram. How did you lose track of it?
I don't know how it slipped my mind.
-separator-
I neglected to push the latest changes to the repository. How did you overlook it?
I accidentally closed my IDE without pushing the changes.
-separator-
I always struggle to recall her API endpoint. Why do you find it hard to remember it?"
Wizard-Lesson 14-14.wma,"Conversation Lesson 14
-separator-
She deployed her code in the repository.
Are you sure she did that?
Yes, I am. She deployed her code in the repository.
-separator-
There is a new pull request for you on GitHub.
Are you sure of that?
Yes, I am. I saw it on your GitHub repository.
Are you sure of that? Yes, I am. I saw it on your GitHub repository.
-separator-
She pushed all her commits to the master branch.
Are you sure she did?
Yes, I am. She pushed all her commits to the master branch.
-separator-
The algorithm was implemented in his project last week.
Are you sure of that?
Yes, I am. The algorithm was implemented in his project last week.
-separator-
She merged her feature branch into the main codebase.
Are you sure she did?
Yes, I am. She merged her feature branch into the main codebase.
-separator-
His IDE is not responding.
Are you sure it's not working?
Yes, I am. His IDE is not responding.
-separator-
Amy's QA team tests her application every Friday.
Are you sure they test it?
Yes, I am. Amy's QA team tests her application every Friday.
-separator-
The server's database is full of entries.
Are you sure it is?
Yes, I am. The server's database is full of entries.
-separator-
John's mentor assigned him a challenging project.
Are you sure he did?
Yes, I am. John's mentor assigned him a challenging project.
-separator-
My colleague's backlog is empty.
Are you sure it is?
Yes, I am. My colleague's backlog is empty."
Wizard-Lesson 14-14.wma,"Conversation  Lesson 14
-separator-
He deployed his code in the repository.
Are you sure he did that?
Yes, I am.
-separator-
There is a new task for you in your project.
Are you sure of that?
Yes, I am. I checked it in your project.
-separator-
Are you sure of that?
Yes, I am.
I confirmed it in your project.
-separator-
She assigned all the tickets to the developers.
Are you sure she did?
Yes, I am.
I was with her when she assigned them.
-separator-
The algorithm was implemented in the system last week.
Are you sure of that?
Yes, I am. I was testing it when it was implemented.
-separator-
He pushed the updated model to the server.
Are you sure he did?
Yes, I am. I observed the process.
-separator-
The server is not responding.
Are you sure it's not responding?
Yes, I am. I was trying to connect when it stopped responding.
-separator-
The project manager schedules a meeting every Monday.
Are you sure they schedule it?
Yes, I am. I always receive the meeting invites.
-separator-
The software's requirements are well-defined.
Are you sure they are?
Yes, I am. I just reviewed them.
-separator-
The developer's IDE crashed during the presentation.
Are you sure it happened?
Yes, I am. I was there when it crashed."
Wizard-Lesson 15-15.wma,"Conversation, Lesson 15  
-separator-  
There's a colleague positioned near the entrance.  
Who is he? He's the fresh recruit in logistics.  

-separator-  
There's a portrait of the team in the boardroom.  
Who captured that image? Suited up with her new DSLR.  

-separator-  
Someone's anticipating your arrival.  
Who could it be? I suspect it's your newly assigned mentor.  

-separator-  
There's a camera stowed in the backpack.  
Who stashed it there? I believe Sam did.  

-separator-  
There's a dossier in the portfolio.  
Who placed it there? I witnessed the administrative assistant placing it in the portfolio.  

-separator-  
There was a padlock securing the garage entry.  
Who installed the padlock on the garage door? I believe it was the housekeeper.  

-separator-  
There was a homemade cake in the chiller.  
Who whipped up the cake? My mom did.  

-separator-  
There was a pupil in the lecture hall.  
Who was he? He was the instructor's offspring.  

-separator-  
There was a lady attending the conference.  
Who was she? She's the new financial institution executive.  

-separator-  
There was an advertisement in the periodical.  
Who placed this advertisement in the publication? James did.  "
Wizard-Lesson 16-16.wma,"Conversation Lesson 16
-separator-
Is there a security lock on the server?
Yes, there is.
But I don't think there is.
-separator-
Do you know if there is data corruption in the system?
I think there is.
I don't think there is.
I don't think there is.
-separator-
Is there a lock on the code repository?
Yes, I think there is.
Sorry, I just checked and there isn't.
-separator-
Is there code in the repository?
Yes, I think there is.
Sorry, I checked and there isn't.
-separator-
Is there a solution to this coding issue?
I am sure there is a solution.
I am afraid there isn't a solution to this problem.
I am afraid there isn't a solution to this problem.
-separator-
Was there an update on the programming language for me?
I am sure there was an update for you.
I don't think there was an update.
-separator-
Is there anybody in the development room?
I don't know if there is or there is not.
I think there is somebody in there.
-separator-
Is there some debugging tool in the development environment?
I am afraid there isn't any debugging tool here.
I think there is some.
-separator-
Was there a senior developer with her during the project?
Yes, there was.
But I didn't see any senior developer while I was there.
-separator-
Was there a code review in the sprint?
I'm not sure there was.
I don't sure there was.
I don't think there was."
Wizard-Lesson 17-17.wma,"Conversation, Lesson 17
-separator-
Are there developers here?
Yes, there are. They're in the meeting room.
No, there aren't. They've all left for another project.
-separator-
How many algorithms are there in your machine learning model?
I really don't know how many algorithms there are. I think there are more than 20.
-separator-
How many data points are there in your dataset?
I really don't know how many data points there are. I think there are more than 30.
-separator-
How many lines of code are there in this software project?
I really don't know how many lines of code there are. I think there are more than 40.
-separator-
How many functions are there in the software library?
I really don't know how many functions there are. I think there are more than 1,000.
-separator-
How many users were there on the platform?
I really don't know how many users there were. I think there were more than 10,000.
-separator-
How many developers were there at the hackathon?
I really don't know how many developers there were. I don't think there were more than 100.
-separator-
How many testers were there at the QA session?
I really don't know how many testers there were. I think there weren't more than 50.
-separator-
How many bugs were there in the code review yesterday?
I really don't know how many bugs there were. I think there weren't more than 40.
-separator-
How many stakeholders were there in the project meeting?
I really don't know how many stakeholders there were. I think there weren't more than 100."
